29250645.7143,FEMALE,31.99,SINGLE,NO_DATA,0.94,NO_DATA,NO_DATA,E,N,N,-0.01,BUSINESS,N,N,N,N,N
13089217.1429,MALE,31.99,SINGLE,NO_DATA,0.96,NO_DATA,NO_DATA,E,N,N,-0.01,BUSINESS,N,N,N,N,N
59102202.8571,MALE,26.99,SINGLE,NO_DATA,1.49,NO_DATA,NO_DATA,E,N,N,-0.01,BUSINESS,N,N,N,N,N
70239945.7143,NO_DATA,\N,NO_DATA,NO_DATA,\N,NO_DATA,NO_DATA,E,N,N,-0.02,BUSINESS,N,N,N,N,N
13296760,FEMALE,37.98,SINGLE,NO_DATA,1.86,NO_DATA,NO_DATA,E,N,N,-0.02,BUSINESS,N,N,N,N,N
7514360,FEMALE,30.98,MARRIED,NO_DATA,1.19,NO_DATA,DIGITAL,E,N,N,-0.02,BUSINESS,N,N,N,N,N
76507060,FEMALE,29.98,SINGLE,NO_DATA,1.23,NO_DATA,DIGITAL,E,N,N,-0.02,BUSINESS,N,N,N,N,N
54282331.4286,FEMALE,34.98,SINGLE,NO_DATA,1.89,REGION IV-A (CALABARZON),NO_DATA,E,N,N,-0.02,BUSINESS,N,N,N,N,N
48463360,FEMALE,19.98,MARRIED,NO_DATA,1,NO_DATA,DIGITAL,E,N,N,-0.02,BUSINESS,N,N,N,N,N
89734631.4286,FEMALE,44.67,SINGLE,NO_DATA,1.31,REGION IV-A (CALABARZON),TRADITIONAL,E,N,N,-0.03,BUSINESS,N,N,N,N,N
58225217.1429,MALE,34.64,SINGLE,NO_DATA,0.44,NO_DATA,NO_DATA,E,N,N,-0.03,BUSINESS,N,N,N,N,N
40581060,FEMALE,61.97,MARRIED,NO_DATA,1.33,NO_DATA,DIGITAL,E,N,N,-0.03,BUSINESS,N,N,N,Y,N
132358760,MALE,48.96,SINGLE,NO_DATA,2.57,NO_DATA,NO_DATA,E,N,N,-0.04,BUSINESS,N,N,N,N,N
53633502.8571,FEMALE,40.96,MARRIED,NO_DATA,0.92,NO_DATA,NO_DATA,E,N,N,-0.04,BUSINESS,N,N,N,N,N
125897774.2857,FEMALE,37.96,SINGLE,NO_DATA,1.47,NO_DATA,NO_DATA,E,N,N,-0.04,BUSINESS,N,N,N,N,N
115723088.5714,FEMALE,39.95,MARRIED,NO_DATA,0.46,NO_DATA,NO_DATA,E,N,N,-0.05,BUSINESS,N,N,N,N,N
51634631.4286,MALE,39.95,MARRIED,NO_DATA,1.6,NO_DATA,NO_DATA,E,N,N,-0.05,BUSINESS,N,N,N,N,N
130403517.1429,MALE,23.95,SINGLE,NO_DATA,0.3,NO_DATA,NO_DATA,E,N,N,-0.05,BUSINESS,N,N,N,N,N
16477902.8571,FEMALE,28.94,SINGLE,NO_DATA,2,NO_DATA,NO_DATA,E,N,N,-0.06,BUSINESS,N,N,N,N,N
